Instance,Nb villes,Algo,Distance,Temps (s),Départ
France10,10,KNN,30.941136036763087,1.8596649169921875e-05,Lyon
France10,10,TWO_OPT,29.326788979724178,0.0011224746704101562,Nice
France10,10,THREE_OPT,29.326788979724185,0.00012087821960449219,Nice
France10,10,AG,30.34622435991035,0.015503168106079102,Montpellier
France50,50,KNN,59.50399221917246,6.842613220214844e-05,Créteil
France50,50,TWO_OPT,50.00757123187962,0.035605430603027344,Limoges
France50,50,THREE_OPT,49.8701648869625,0.05823087692260742,Limoges
France50,50,AG,59.08177672338177,0.2313544750213623,Créteil
France100,100,KNN,60.788602114018225,0.00013971328735351562,Versailles
France100,100,TWO_OPT,57.271964712435455,0.1686694622039795,Tours
France100,100,THREE_OPT,57.26118507505849,0.384044885635376,Tours
France100,100,AG,60.788602114018225,1.531853437423706,Versailles
France650,625,KNN,103.76277490895288,0.001405954360961914,Valence
France650,625,TWO_OPT,91.32052093648032,8.196163177490234,Corbeil-Essonnes
France650,625,THREE_OPT,91.28347247135024,13.674662113189697,Corbeil-Essonnes
France650,625,AG,103.76277490895288,2.166245460510254,Valence
